Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-cyber-security-specialist-carbon-black-chennai-location-creative-hands-hr-hyderabad-chennai-bengaluru-2-to-6-years-170225002220,"Cyber Security Specialist, Carbon Black, Chennai location",Top B2B MNC in BPO Domain,5-8 Lacs PA,"Hyderabad, Chennai, Bengaluru",2-6 Yrs,"Carbon Black, VMware, Cyber Security, Infrastructure management, Information security, SOC, Risk assessment, Security operations",2022-01
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electric-vadodara-1-to-4-years-130225504942,GLOBAL CYBER SECURITY ANALYST,Lucy Electric,Not disclosed,Vadodara,1-4 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-01
https://www.naukri.com/job-listings-global-cyber-security-analyst-lucy-electricle-vadodara-1-to-3-years-120225500536,Global Cyber Security Analyst,Lucy Electricle,Not disclosed,Vadodara,1-3 Yrs,"Project management, Active directory, Network security, Agile, Customer relationship, Antivirus, Windows, microsoft",2022-01
https://www.naukri.com/job-listings-cyber-security-consultant-uniinfo-telecom-services-hyderabad-bengaluru-8-to-12-years-120225011780,Cyber Security Consultant,Uniinfo Telecom Services,5-15 Lacs PA,"Hyderabad, Bengaluru",8-12 Yrs,"Cloud Security, Cyber Security, SQL, Java Script Ajax, third party tool, spirion, Risk Management, languages scripting",2022-01
https://www.naukri.com/job-listings-cyber-security-analyst-azure-cloud-ust-bengaluru-3-to-5-years-050225500603,Cyber Security Analyst - Azure Cloud,UST,Not disclosed,Bengaluru,3-5 Yrs,"cyber security analyst, Networking, Architecture, SOC, Intrusion detection, Cloud, SIEM, microsoft azure",2022-01
https://www.naukri.com/job-listings-senior-service-engineer-it-infra-and-cyber-security-ge-india-industrial-private-limited-noida-6-to-8-years-130225910551,Senior Service Engineer - IT Infra and Cyber Security,GE,Not disclosed,Noida,6-8 Yrs,"Service Engineering, Cyber Security, Storage, Linux, incident management, Net, Backup, vulnerability management, VLAN",2022-01
https://www.naukri.com/job-listings-cyber-security-engineer-adler-talent-solutions-coimbatore-bengaluru-3-to-7-years-170225012736,Cyber Security Engineer,Adler Talent Solution,Not disclosed,"Coimbatore, Bengaluru",3-7 Yrs,"Cyber Security, Cyber Threat, Threat Analysis, Analysis, Security, Cyber",2022-01
https://www.naukri.com/job-listings-project-manager-with-cyber-security-background-e-solutions-it-services-pvt-ltd-bengaluru-8-to-13-years-110225920653,Project Manager with Cyber Security background,Leading Client,Not disclosed,Bengaluru,8-13 Yrs,"cyber security, soc, information security, vulnerability management, siem, risk management, it security, network security",2022-01
https://www.naukri.com/job-listings-cyber-security-professional-infosys-technologies-ltd-bengaluru-4-to-12-years-040225508887,Cyber Security Professional,Infosys,Not disclosed,Bengaluru,4-12 Yrs,"PCI DSS, cloud security, ISO, cyber security, Architecture, Strategic planning, Application security, Competency management",2022-01
https://www.naukri.com/job-listings-senior-analyst-information-cyber-security-information-iris-solutions-noida-3-to-7-years-060225505181,Senior Analyst - Information & Cyber Security Information,Iris Solutions,Not disclosed,Noida,3-7 Yrs,"Health insurance, Change management, cyber security, Compliance, Senior Analyst, Finance, Focus, Forensic",2022-01
